VARIABLE,VARIABLE LABEL,FILE NUMBER,VARIABLE ORDER IN FILE,FORMAT
SURVEY,Year Survey Conducted,1,1,Numeric
DOEID,4-digit identification number,1,2,Numeric
REGIONC,Census Region,1,3,Numeric
DIVISION,Census Division,1,4,Numeric
LRGSTATE,Four Largest States,1,5,Numeric
TYPEHUQ,Type of Home  (Respondent answer),1,6,Numeric
MQRESULT,Mail Questionnaire Codes,1,7,Numeric
NWEIGHT,The Final Weight,1,8,Numeric
HD65,Heat Deg-Days: Base65 01 TO 12-2005 (Inoculated),1,9,Numeric
CD65,Cool Deg-Days: Base65 01 TO 12-2005 (Inoculated),1,10,Numeric
NUMFLRS,Number Floors in Apartment Building,1,11,Numeric
NUMAPTS,Interviewer Reported Num of Units in Apt Bldg,1,12,Numeric
WALLTYPE,Exterior Wall Construction Material,1,13,Numeric
CNFRMHUQ,Agreement with type of housing unit recorded,1,14,Numeric
ALTHUQ,Alternative type of housing unit,1,15,Numeric
REVHUQ,How final TYPEHUQ was determined,1,16,Numeric
STUDIO,Is this a Studio apartment,1,17,Numeric
ONEFLRAPT,Is this a one-floor apartment,1,18,Numeric
NAPTFLRS,Number of floors in this apartment,1,19,Numeric
STORIES,Reported Stories in Housing Unit,1,20,Numeric
TYPEHUQ4,Mobile home have permanently attached structures,1,21,Numeric
BEDROOMS,Number of bedrooms,1,22,Numeric
OTHROOMS,Number of Other Rooms,1,23,Numeric
TOTROOMS,Total number of bedrooms and other rooms,1,24,Numeric
NCOMBATH,Number of Complete Baths,1,25,Numeric
NHAFBATH,Number of Half Baths,1,26,Numeric
POTTYAGE,Age of the most used toilet ,1,27,Numeric
POTTYLEAK,Does the most used toilet leak,1,28,Numeric
POTTYPARTS,Any of the part of the most used toilet replaced,1,29,Numeric
POTTYFIX,When was the most used toilet repaired,1,30,Numeric
CELLAR,Home Has Basement,1,31,Numeric
CRAWL,Home Has Crawl Space,1,32,Numeric
CONCRETE,Home Has Concrete Slab,1,33,Numeric
BASEFIN,Is the basement finished,1,34,Numeric
FINBASERMS,Number of rooms in finished basement,1,35,Numeric
BASEHEAT,Basement/crawl Space heated,1,36,Numeric
PCTBSTHT,Portion of basement that is heated,1,37,Numeric
BASECOOL,Is basement air-conditioned,1,38,Numeric
PCTBSTCL,Percent of the basement that is A/Ced,1,39,Numeric
BASEUSE,Amount of basement to which have exclusive use,1,40,Numeric
ATTIC,Home has attic,1,41,Numeric
ATTICFIN,Part of the attic finished,1,42,Numeric
